2026-04-08 03:03:39,705 - INFO - Analyzed: C:/Users/abhid/Downloads/Statement_2026MTH03_016575578.pdf - Result: {'File Name': 'Statement_2026MTH03_016575578.pdf', 'Path': 'C:/Users/abhid/Downloads/Statement_2026MTH03_016575578.pdf', 'Type': 'PDF', 'HTML': 'N/A', 'Protected': 'Yes', 'Blurry': 'N/A', 'Blur Score': 'N/A', 'Cropped': 'N/A', 'Status': 'Completed'}
2026-04-08 03:03:39,709 - INFO - Analyzed: C:/Users/abhid/Downloads/AbhishekDesaiResumeMar2024[1]-1 (1).pdf - Result: {'File Name': 'AbhishekDesaiResumeMar2024[1]-1 (1).pdf', 'Path': 'C:/Users/abhid/Downloads/AbhishekDesaiResumeMar2024[1]-1 (1).pdf', 'Type': 'PDF', 'HTML': 'N/A', 'Protected': 'No', 'Blurry': 'N/A', 'Blur Score': 'N/A', 'Cropped': 'N/A', 'Status': 'Completed'}
2026-04-08 03:07:31,066 - INFO - Analyzed: C:/Users/abhid/Downloads/abhi.html.txt - Result: {'File Name': 'abhi.html.txt', 'Path': 'C:/Users/abhid/Downloads/abhi.html.txt', 'Type': 'Unknown', 'HTML': 'N/A', 'Protected': 'N/A', 'Blurry': 'N/A', 'Blur Score': 'N/A', 'Cropped': 'N/A', 'Status': 'Completed'}
2026-04-08 03:07:31,118 - INFO - Analyzed: C:/Users/abhid/Downloads/photo_2026-04-08_02-53-41.jpg - Result: {'File Name': 'photo_2026-04-08_02-53-41.jpg', 'Path': 'C:/Users/abhid/Downloads/photo_2026-04-08_02-53-41.jpg', 'Type': 'Image', 'HTML': 'N/A', 'Protected': 'N/A', 'Blurry': 'No', 'Blur Score': '5135.50', 'Cropped': 'No', 'Status': 'Completed'}
2026-04-08 03:07:31,125 - INFO - Analyzed: C:/Users/abhid/Downloads/Statement_2026MTH03_016575578.pdf - Result: {'File Name': 'Statement_2026MTH03_016575578.pdf', 'Path': 'C:/Users/abhid/Downloads/Statement_2026MTH03_016575578.pdf', 'Type': 'PDF', 'HTML': 'N/A', 'Protected': 'Yes', 'Blurry': 'N/A', 'Blur Score': 'N/A', 'Cropped': 'N/A', 'Status': 'Completed'}
2026-04-08 03:07:31,131 - INFO - Analyzed: C:/Users/abhid/Downloads/AbhishekDesaiResumeMar2024[1]-1 (1).pdf - Result: {'File Name': 'AbhishekDesaiResumeMar2024[1]-1 (1).pdf', 'Path': 'C:/Users/abhid/Downloads/AbhishekDesaiResumeMar2024[1]-1 (1).pdf', 'Type': 'PDF', 'HTML': 'N/A', 'Protected': 'No', 'Blurry': 'N/A', 'Blur Score': 'N/A', 'Cropped': 'N/A', 'Status': 'Completed'}
2026-04-08 03:13:16,579 - INFO - Analyzed: C:/Users/abhid/Downloads/abhi.html.txt - Result: {'File Name': 'abhi.html.txt', 'Path': 'C:/Users/abhid/Downloads/abhi.html.txt', 'Type': 'Unknown', 'HTML': 'N/A', 'Protected': 'N/A', 'Blurry': 'N/A', 'Blur Score': 'N/A', 'Cropped': 'N/A', 'Status': 'Completed'}
2026-04-08 03:13:16,644 - INFO - Analyzed: C:/Users/abhid/Downloads/photo_2026-04-08_02-53-41.jpg - Result: {'File Name': 'photo_2026-04-08_02-53-41.jpg', 'Path': 'C:/Users/abhid/Downloads/photo_2026-04-08_02-53-41.jpg', 'Type': 'Image', 'HTML': 'N/A', 'Protected': 'N/A', 'Blurry': 'No', 'Blur Score': '5135.50', 'Cropped': 'No', 'Status': 'Completed'}
2026-04-08 03:13:16,656 - INFO - Analyzed: C:/Users/abhid/Downloads/Statement_2026MTH03_016575578.pdf - Result: {'File Name': 'Statement_2026MTH03_016575578.pdf', 'Path': 'C:/Users/abhid/Downloads/Statement_2026MTH03_016575578.pdf', 'Type': 'PDF', 'HTML': 'N/A', 'Protected': 'Yes', 'Blurry': 'N/A', 'Blur Score': 'N/A', 'Cropped': 'N/A', 'Status': 'Completed'}
2026-04-08 03:13:16,660 - INFO - Analyzed: C:/Users/abhid/Downloads/AbhishekDesaiResumeMar2024[1]-1 (1).pdf - Result: {'File Name': 'AbhishekDesaiResumeMar2024[1]-1 (1).pdf', 'Path': 'C:/Users/abhid/Downloads/AbhishekDesaiResumeMar2024[1]-1 (1).pdf', 'Type': 'PDF', 'HTML': 'N/A', 'Protected': 'No', 'Blurry': 'N/A', 'Blur Score': 'N/A', 'Cropped': 'N/A', 'Status': 'Completed'}
2026-04-09 00:05:05,399 - INFO - Analyzed: C:/Users/abhid/Downloads/abhi.html.txt - Result: {'File Name': 'abhi.html.txt', 'Path': 'C:/Users/abhid/Downloads/abhi.html.txt', 'Type': 'Unknown', 'HTML': 'N/A', 'Protected': 'N/A', 'Blurry': 'N/A', 'Blur Score': 'N/A', 'Cropped': 'N/A', 'Status': 'Completed'}
2026-04-09 00:05:05,565 - INFO - Analyzed: C:/Users/abhid/Downloads/photo_2026-04-08_02-53-41.jpg - Result: {'File Name': 'photo_2026-04-08_02-53-41.jpg', 'Path': 'C:/Users/abhid/Downloads/photo_2026-04-08_02-53-41.jpg', 'Type': 'Image', 'HTML': 'N/A', 'Protected': 'N/A', 'Blurry': 'No', 'Blur Score': '5135.50', 'Cropped': 'No', 'Status': 'Completed'}
2026-04-09 00:05:05,656 - INFO - Analyzed: C:/Users/abhid/Downloads/Statement_2026MTH03_016575578.pdf - Result: {'File Name': 'Statement_2026MTH03_016575578.pdf', 'Path': 'C:/Users/abhid/Downloads/Statement_2026MTH03_016575578.pdf', 'Type': 'PDF', 'HTML': 'N/A', 'Protected': 'Yes', 'Blurry': 'N/A', 'Blur Score': 'N/A', 'Cropped': 'N/A', 'Status': 'Completed'}
2026-04-09 00:05:05,682 - INFO - Analyzed: C:/Users/abhid/Downloads/AbhishekDesaiResumeMar2024[1]-1 (1).pdf - Result: {'File Name': 'AbhishekDesaiResumeMar2024[1]-1 (1).pdf', 'Path': 'C:/Users/abhid/Downloads/AbhishekDesaiResumeMar2024[1]-1 (1).pdf', 'Type': 'PDF', 'HTML': 'N/A', 'Protected': 'No', 'Blurry': 'N/A', 'Blur Score': 'N/A', 'Cropped': 'N/A', 'Status': 'Completed'}
2026-04-09 00:05:30,063 - INFO - Results exported to logs\analysis_results_20260409_000529.csv
